cropName,cropCode,cropId,n_origins,recency_mean_MAE,serving_category_MAE,serving_cropmedian_MAE,carry_forward_MAE,carry_forward_n,seasonal_naive_MAE,seasonal_naive_n,best_challenger,report_best_challenger,report_best_MAE,delta_pct,switched
Mukunuwenna,VEG000040,baf52b87-9c9c-43fe-9fa1-fc37ea4205e2,364,203.88249296793475,86.4010989010989,3.9972527472527473,4.677197802197802,364,5.583333333333333,60,carry_forward,carry_forward,4.677197802197802,0.9770593456352654,True
Gotukola,VEG000029,d303789b-532b-4972-a8de-3f6647597bd0,301,204.17086204888076,86.69435215946844,3.413621262458472,4.908637873754153,301,5.436507936507937,63,carry_forward,carry_forward,4.908637873754153,0.9759581860776051,True
Water Spinach,VEG000067,40b93475-b858-40e0-8a04-3fbe9f39a0e1,363,204.2237953464106,86.7424655647383,3.3746969696969695,5.234173553719009,363,5.3332500000000005,60,carry_forward,carry_forward,5.234173553719009,0.9743704030921536,True
Kohila,VEG000034,7143c182-45ec-4d89-86e2-042543b641db,173,128.40938780532042,16.213872832369944,13.092485549132949,15.910404624277456,173,15.208333333333334,60,carry_forward,seasonal_naive,15.208333333333334,0.8760962504673023,True
Chaw - Chaw,VEG000018,1fd6d20e-7bfe-4399-8750-9cdfa05e281b,264,159.46495685392,42.566287878787875,14.214015151515152,20.69128787878788,264,21.024590163934427,61,carry_forward,carry_forward,20.69128787878788,0.8702455493231507,True
Gram,VEG000030,5b565814-0830-469c-b652-bdb6e73f437f,246,120.06028719614835,237.53048780487805,18.628048780487806,24.13617886178862,246,70.27272727272727,55,carry_forward,carry_forward,24.13617886178862,0.7989661741991657,True
Green Gram,VEG000032,1a90eaf2-1cc3-4f99-b6c8-d46bd8562581,327,347.20779068555316,464.68654434250766,57.77522935779817,90.29051987767583,327,107.62295081967213,61,carry_forward,carry_forward,90.29051987767583,0.7399524944431707,True
Pumpkin - Malashian,VEG000052,54766d0f-ce79-4e43-b6c7-80a353046492,306,161.78252655104268,59.76307189542484,26.70751633986928,45.64542483660131,306,31.491935483870968,62,carry_forward,seasonal_naive,31.491935483870968,0.7178593646069676,True
Pumpkin - Big,VEG000051,5dffc01d-f8fe-4f2b-a498-080033ace1bd,50,139.2047295811927,44.1,27.1,39.35,50,53.888888888888886,9,carry_forward,carry_forward,39.35,0.7173228228783084,True
Cooking Melon,VEG000019,127e5593-7d4f-4fa0-8f07-69e567071567,335,157.40474711186167,60.059701492537314,33.47761194029851,45.17164179104478,335,62.33606557377049,61,carry_forward,carry_forward,45.17164179104478,0.7130223667336857,True
Dry Chillies,VEG000025,64a30266-40a2-4f87-a18a-f71a84747641,232,635.3228313120223,752.7909482758621,125.48491379310344,186.25,232,465.68548387096774,62,carry_forward,carry_forward,186.25,0.7068419536956194,True
Peanuts,VEG000045,7f8984ff-4db6-4f91-bf73-2f4a710fb3e9,298,261.7100792964941,379.0184563758389,56.82046979865772,84.06040268456375,298,96.26984126984127,63,carry_forward,carry_forward,84.06040268456375,0.6788033425746248,True
Soya Bean,VEG000060,4ce0c0ef-14da-403c-8c83-67a7bf9f6fdb,219,131.42225425059897,248.7214611872146,28.995433789954337,46.6437899543379,219,63.421052631578945,57,carry_forward,carry_forward,46.6437899543379,0.6450845389899,True
Big Onion,VEG000007,aac3fa6b-e982-4321-81f4-7b2944280372,310,142.80978654783954,260.31451612903226,37.266129032258064,50.935483870967744,310,124.63709677419355,62,carry_forward,carry_forward,50.935483870967744,0.6433333799998014,True
Thumbakarawila,VEG000064,4d9a5603-3833-43f3-89cd-296e24a666fc,309,354.140882481027,456.6181229773463,89.90291262135922,128.6893203883495,309,86.09375,64,carry_forward,seasonal_naive,86.09375,0.6366154636347471,True
Cowpea,VEG000021,39ce31a0-394e-4c7e-b3e2-e566aa8e1975,291,334.8268653577279,452.3024054982818,90.85910652920963,125.69587628865979,291,117.45833333333333,60,carry_forward,seasonal_naive,117.45833333333333,0.6245944119377436,True
Finger Millet,VEG000027,4892802b-ae60-4642-80ec-14d5c0d936d5,125,166.64322343661453,284.08,44.72,69.52,125,96.25,28,carry_forward,carry_forward,69.52,0.5828213199053782,True
Red Banana,FRT000022,365032c6-6375-4a47-9a97-8d659f0ef26c,299,87.8499240075626,209.87458193979933,29.891304347826086,46.53846153846154,299,30.967741935483872,62,carry_forward,seasonal_naive,30.967741935483872,0.4702504064265866,True
Lotus Roots,VEG000038,81db44df-4fc4-4f75-8d57-ab775cf8c463,109,286.34848142798154,403.8532110091743,60.321100917431195,160.09174311926606,109,102.85714285714286,7,carry_forward,carry_forward,160.09174311926606,0.4409198808357217,True
Big Onion Lanka,VEG000009,54a63d2c-b608-4e23-908a-d87e279c942b,81,162.3448287493935,138.02469135802468,61.17283950617284,97.56172839506173,81,96.88271604938272,81,carry_forward,seasonal_naive,96.88271604938272,0.3990462822461402,True
Sesame,VEG000058,7717e556-9cd2-4a40-9683-35db039388aa,311,183.56808544718052,298.9228295819936,71.63987138263666,117.40353697749197,311,120.98360655737704,61,carry_forward,carry_forward,117.40353697749197,0.3604360110228779,True
Thithbatu,VEG000063,988ea8b6-e99f-46ca-9c45-9bc155709f48,298,253.83249903365927,371.30872483221475,98.35570469798658,167.03020134228188,298,123.17460317460318,63,carry_forward,seasonal_naive,123.17460317460318,0.34196684042364106,True
Corns,VEG000020,4733f760-b31c-4363-b3e4-10f46256a19c,292,104.24786798397251,15.231164383561644,10.402397260273972,16.815068493150687,292,16.434426229508198,61,carry_forward,seasonal_naive,16.434426229508198,0.8387010802394932,False
Jackfruit,FRT000011,9eab9555-899f-4d54-bc25-2c3d02109914,295,143.84034270924047,33.09322033898305,20.889830508474578,38.57627118644068,295,14.516129032258064,62,carry_forward,seasonal_naive,14.516129032258064,0.7318118793388936,False
Watermelon,FRT000025,939d91c0-d423-420e-9194-ffa625533276,324,123.13399780237505,37.507716049382715,35.516975308641975,57.36882716049383,324,20.737704918032787,61,carry_forward,seasonal_naive,20.737704918032787,0.5340943347541722,False
Mango - Malu,FRT000015,51cbe6f4-292e-49b9-b8cb-dcb451102dc9,271,145.58224202685355,40.525830258302584,31.98339483394834,71.46678966789668,271,71.44067796610169,59,carry_forward,seasonal_naive,71.44067796610169,0.5090967918002377,False
Cabbage,VEG000014,34acaaae-07f8-4355-a52b-76771a35d11a,304,114.59815662720537,43.963815789473685,38.63486842105263,95.04111842105263,304,174.0079365079365,63,carry_forward,carry_forward,95.04111842105263,0.170657528722499,False
Nai Miris,VEG000041,73527fea-2952-4bb6-b3e8-e1dde4cb496a,313,554.9505232214459,657.4281150159744,275.09584664536743,531.405750798722,313,157.890625,64,carry_forward,seasonal_naive,157.890625,0.04242679561062177,False
Passion,FRT000019,661e5c40-0bf9-4195-b113-3e5d1d18084a,340,205.19006631964714,323.0367647058824,126.58088235294117,196.78676470588235,340,126.04838709677419,62,carry_forward,seasonal_naive,126.04838709677419,0.04095374481079434,False
Turmeric,VEG000066,153dcee5-cc0a-451a-8a6d-e04ec437fe19,147,30.189101793300267,102.55102040816327,26.666666666666668,30.102040816326532,147,35.714285714285715,63,carry_forward,carry_forward,30.102040816326532,0.0028838544972231003,False
Mango- Other,FRT000016,3d07e0d4-133f-4327-8060-63bee40e34e9,271,101.48490488111403,62.481549815498155,60.24907749077491,102.9520295202952,271,72.84482758620689,58,carry_forward,seasonal_naive,72.84482758620689,-0.014456579930777385,False
Pineapple,FRT000021,69e0d5d4-a68e-4b81-9fa7-700acb59ba83,258,52.61778581718312,163.78875968992247,46.4437984496124,56.627906976744185,258,72.93650793650794,63,carry_forward,carry_forward,56.627906976744185,-0.07621227494243024,False
Avacado,FRT000002,df35f6b5-4897-4745-b288-e42a81cbf3fe,173,236.12862186692857,355.63583815028903,161.9942196531792,257.78901734104045,173,82.58474576271186,59,carry_forward,seasonal_naive,82.58474576271186,-0.09173134244741707,False
Potatoes - Walimada,VEG000050,747a93b7-c646-4ddf-ba58-3f736625c9e7,213,55.23380966133948,116.98356807511738,38.90845070422535,66.67840375586854,213,42.429577464788736,213,carry_forward,seasonal_naive,42.429577464788736,-0.20720269278364897,False
Beetroot Cut - Malsiripura,VEG000005,81835c7a-8e47-4a77-a083-8b917cc811b7,145,152.10530749053783,126.22413793103448,122.87931034482759,184.93099999999998,145,115.83333333333333,15,carry_forward,carry_forward,184.93099999999998,-0.2158089882005214,False
Cauliflower,VEG000017,4b068a42-b8a4-4dfb-b061-f42349d7f731,308,148.15765477321347,233.5064935064935,117.37012987012987,181.0064935064935,308,103.70967741935483,62,carry_forward,seasonal_naive,103.70967741935483,-0.22171543403249816,False
Mango- TJC,FRT000017,222cf7ae-4d5a-47bf-a8bc-683b81a07201,268,370.6905842853527,479.5988805970149,311.3899253731343,452.8824626865672,268,256.2903225806452,62,carry_forward,seasonal_naive,256.2903225806452,-0.22172637203523962,False
Banana - Ambun,FRT000004,6f48b51f-83d8-4b6a-94dc-7df8b9480f2c,307,40.42152406246082,105.61889250814332,35.63517915309446,50.29315960912052,307,49.193548387096776,62,carry_forward,seasonal_naive,49.193548387096776,-0.24421730193561458,False
Wild -Baby Potato,VEG000068,94747a50-7315-4e97-997a-458d2f740b7f,100,54.24791898427521,156.15,44.55,69.05,100,77.70270270270271,37,carry_forward,carry_forward,69.05,-0.2728598864781422,False
Eggplant,VEG000026,69716bed-9d9d-4b80-b88f-3691c903e68d,157,83.600563722629,86.9267515923567,74.69745222929936,110.1592356687898,157,86.71428571428571,35,carry_forward,seasonal_naive,86.71428571428571,-0.3176853212889508,False
Beetroot Cut - Puththalama,VEG000006,2f84f6e8-2c1b-415a-a56b-36ca9ced20be,270,132.87864528991767,94.85185185185185,92.77777777777777,178.52777777777777,270,133.4051724137931,58,carry_forward,seasonal_naive,133.4051724137931,-0.3435400202061195,False
Winged Bean,VEG000069,79b2c22a-cd8a-4b6e-9cec-c2abaaaa04e2,328,72.13885277263303,124.26829268292683,72.01219512195122,97.5609756097561,328,84.03225806451613,62,carry_forward,seasonal_naive,84.03225806451613,-0.3524054217669419,False
Guava,FRT000009,f170915d-44f5-4623-8ae8-f72b8f2245d7,271,67.96333481674309,166.07933579335793,62.07564575645756,92.9520295202952,271,100.47619047619048,63,carry_forward,carry_forward,92.9520295202952,-0.36767905475697804,False
Soursop,FRT000023,8c312d7a-f1ea-40f9-9af3-f3fa7f3e4fef,237,115.94562743612724,132.87974683544303,102.12025316455696,165.35864978902953,237,43.306451612903224,62,carry_forward,seasonal_naive,43.306451612903224,-0.42617409078339935,False
Lettuce,VEG000037,194d7440-282a-4097-b5df-ed5fdc02ab50,300,110.89576868761847,127.18333333333334,108.81666666666666,161.68333333333334,300,205.60344827586206,58,carry_forward,carry_forward,161.68333333333334,-0.45797567613943874,False
